file_path,file_name,file_suffix,scene_index,scene_name,size_z,z_step_um,z_start_um,z_end_um,z_range_method,error
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_5_Multichannel Z-Stack_20251017_35.vsi,2_2_PSIHARMIN_5_Multichannel Z-Stack_20251017_35.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_6_Multichannel Z-Stack_20251017_36.vsi,2_2_PSIHARMIN_6_Multichannel Z-Stack_20251017_36.vsi,.vsi,0,"C488, C561, C640",43,,320.8073673930293,327.10736739302934,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_6_Multichannel Z-Stack_20251017_36.vsi,2_2_PSIHARMIN_6_Multichannel Z-Stack_20251017_36.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_7_Multichannel Z-Stack_20251017_37.vsi,2_2_PSIHARMIN_7_Multichannel Z-Stack_20251017_37.vsi,.vsi,0,"C488, C561, C640",46,,324.26385582616126,331.01385582616126,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_7_Multichannel Z-Stack_20251017_37.vsi,2_2_PSIHARMIN_7_Multichannel Z-Stack_20251017_37.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_8_Multichannel Z-Stack_20251017_38.vsi,2_2_PSIHARMIN_8_Multichannel Z-Stack_20251017_38.vsi,.vsi,0,"C488, C561, C640",36,,328.3580083012879,333.6080083012879,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_8_Multichannel Z-Stack_20251017_38.vsi,2_2_PSIHARMIN_8_Multichannel Z-Stack_20251017_38.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_9_Multichannel Z-Stack_20251017_39.vsi,2_2_PSIHARMIN_9_Multichannel Z-Stack_20251017_39.vsi,.vsi,0,"C488, C561, C640",37,,330.80216077641467,336.2021607764146,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_9_Multichannel Z-Stack_20251017_39.vsi,2_2_PSIHARMIN_9_Multichannel Z-Stack_20251017_39.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_10_Multichannel Z-Stack_20251017_50.vsi,2_8_LITHIUM_10_Multichannel Z-Stack_20251017_50.vsi,.vsi,0,"C488, C561, C640",50,,205.73673625099192,213.08673625099192,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_10_Multichannel Z-Stack_20251017_50.vsi,2_8_LITHIUM_10_Multichannel Z-Stack_20251017_50.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_1_Multichannel Z-Stack_20251017_41.vsi,2_8_LITHIUM_1_Multichannel Z-Stack_20251017_41.vsi,.vsi,0,"C488, C561, C640",31,,336.00540194103644,340.50540194103644,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_1_Multichannel Z-Stack_20251017_41.vsi,2_8_LITHIUM_1_Multichannel Z-Stack_20251017_41.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_2_Multichannel Z-Stack_20251017_42.vsi,2_8_LITHIUM_2_Multichannel Z-Stack_20251017_42.vsi,.vsi,0,"C488, C561, C640",26,,338.03721845815784,341.78721845815784,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_2_Multichannel Z-Stack_20251017_42.vsi,2_8_LITHIUM_2_Multichannel Z-Stack_20251017_42.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_3_Multichannel Z-Stack_20251017_43.vsi,2_8_LITHIUM_3_Multichannel Z-Stack_20251017_43.vsi,.vsi,0,"C488, C561, C640",31,,337.98916559848624,342.48916559848624,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_3_Multichannel Z-Stack_20251017_43.vsi,2_8_LITHIUM_3_Multichannel Z-Stack_20251017_43.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_4_Multichannel Z-Stack_20251017_44.vsi,2_8_LITHIUM_4_Multichannel Z-Stack_20251017_44.vsi,.vsi,0,"C488, C561, C640",46,,338.5469541597998,345.2969541597998,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_4_Multichannel Z-Stack_20251017_44.vsi,2_8_LITHIUM_4_Multichannel Z-Stack_20251017_44.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_5_Multichannel Z-Stack_20251017_45.vsi,2_8_LITHIUM_5_Multichannel Z-Stack_20251017_45.vsi,.vsi,0,"C488, C561, C640",43,,202.69713117255688,208.99713117255692,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_8_LITHIUM_5_Multichannel Z-Stack_20251017_45.vsi,2_8_LITHIUM_5_Multichannel Z-Stack_20251017_45.vsi,.vsi,1,macro image,1,,,,unavailable,
