epoch,train_loss,val_loss,lr,epoch_time_s,train_time_s,val_time_s,best_val_loss,best_epoch,grad_norm_mean,grad_norm_max
180,0.00387066,0.00390343,4.06e-06,63.0,55.3,7.8,0.00390343,180,0.0111,0.0400
181,0.00387338,0.00392737,3.67e-06,61.0,54.8,6.2,0.00390343,180,inf,inf
182,0.00386674,0.00390132,3.30e-06,60.5,52.1,8.4,0.00390132,182,0.0108,0.0283
183,0.00387176,0.00390209,2.94e-06,59.3,52.0,7.3,0.00390132,182,0.0110,0.1389
184,0.00386652,0.00400800,2.61e-06,62.4,53.9,8.5,0.00390132,182,0.0104,0.0599
185,0.00386425,0.00389893,2.29e-06,59.7,53.7,6.1,0.00389893,185,0.0106,0.2238
186,0.00386221,0.00389880,2.00e-06,63.3,54.6,8.7,0.00389880,186,0.0103,0.0675
187,0.00386280,0.00389855,1.73e-06,61.8,55.6,6.2,0.00389855,187,inf,inf
188,0.00385904,0.00389676,1.47e-06,59.8,52.1,7.6,0.00389676,188,0.0099,0.0227
189,0.00386082,0.00389743,1.24e-06,54.8,48.6,6.2,0.00389676,188,inf,inf
190,0.00388072,0.00389706,1.02e-06,55.6,49.0,6.6,0.00389676,188,0.0111,0.3965
191,0.00385646,0.00389869,8.29e-07,55.1,49.0,6.1,0.00389676,188,0.0095,0.0369
192,0.00385510,0.00389507,6.55e-07,60.9,53.4,7.5,0.00389507,192,0.0092,0.0271
193,0.00385865,0.00389461,5.02e-07,54.6,48.5,6.1,0.00389461,193,0.0094,0.0464
194,0.00385989,0.00389492,3.69e-07,57.9,51.5,6.4,0.00389461,193,0.0096,0.1557
195,0.00385667,0.00389460,2.56e-07,56.0,49.9,6.1,0.00389460,195,0.0095,0.0310
196,0.00385340,0.00389478,1.64e-07,64.1,56.9,7.2,0.00389460,195,0.0090,0.0170
197,0.00385672,0.00389589,9.23e-08,58.1,51.7,6.4,0.00389460,195,inf,inf
198,0.00385429,0.00389628,4.10e-08,58.7,50.9,7.7,0.00389460,195,0.0091,0.0319
199,0.00385415,0.00389420,1.03e-08,57.5,51.1,6.4,0.00389420,199,0.0090,0.0204
200,0.00385362,0.00389640,0.00e+00,58.4,50.9,7.4,0.00389420,199,0.0092,0.1232
